routing_protocol,num_nodes,drone_speed,seed,sim_time,datapacket_generated_num,packet_delivery_ratio,average_delay,routing_load,throughput,hop_count,collision_num,mac_delay
Greedy,20,15,2025,5000000.0,480,82.91666666666667,108.31303517587939,0.5025125628140703,422.7841076027392,1.763819095477387,294,0.016561588535031847
Greedy,20,20,2025,5000000.0,480,77.5,137.00312096774195,0.5376344086021505,370.3971676869376,1.7043010752688172,271,0.02285917654808959
Greedy,20,30,2025,5000000.0,480,64.375,230.08422330097088,0.6472491909385113,357.7369179618425,1.6990291262135921,292,0.03709837845705968
Greedy,30,15,2025,5000000.0,728,66.34615384615384,509.2612111801242,0.6211180124223602,130.99129614953455,1.6770186335403727,494,0.0322911359832636
Greedy,30,20,2025,5000000.0,728,60.302197802197796,577.9350888382688,0.683371298405467,124.42728283249394,1.671981776765376,533,0.04384911098779134
Greedy,30,30,2025,5000000.0,728,46.97802197802198,533.9009912280702,0.8771929824561403,169.94806645716034,1.608187134502924,586,0.05883437560386473
Greedy,40,15,2025,5000000.0,933,46.19506966773847,762.8666194895592,0.9280742459396751,58.454278534222404,1.7865429234338748,1475,0.04547351942740286
Greedy,40,20,2025,5000000.0,933,43.30117899249732,706.6935891089108,0.9900990099009901,74.99160087380831,1.6955445544554455,770,0.055368930997876854
Greedy,40,30,2025,5000000.0,933,39.87138263665595,738.3265510752688,1.075268817204301,66.86882241655162,1.7204301075268817,917,0.0682936648764769
QGeo,20,15,2025,5000000.0,480,16.25,1454.8868333333332,2.5641025641025643,22.742464550138816,3.2948717948717947,213,0.1045158986615679
QGeo,20,20,2025,5000000.0,480,18.958333333333332,1271.2724395604396,2.197802197802198,67.05722161899557,2.8351648351648353,171,0.09413426015473889
QGeo,20,30,2025,5000000.0,480,15.208333333333332,1151.8053835616438,2.73972602739726,65.46070047011645,3.4657534246575343,142,0.0999248953722334
QGeo,30,15,2025,5000000.0,728,6.593406593406594,1283.4906875,6.25,46.13329968568681,2.2291666666666665,458,0.08281347900763358
QGeo,30,20,2025,5000000.0,728,4.532967032967033,1422.935303030303,9.090909090909092,24.296580585177537,2.8181818181818183,408,0.1079889891089109
QGeo,30,30,2025,5000000.0,728,6.043956043956044,1179.1696363636365,6.818181818181818,33.08976716843014,2.3863636363636362,460,0.0919793527131783
QGeo,40,15,2025,5000000.0,933,2.465166130760986,1370.5588695652173,17.391304347826086,87.26700057784677,1.565217391304348,914,0.08090498399246704
QGeo,40,20,2025,5000000.0,933,3.751339764201501,1715.6940571428572,11.428571428571429,69.76154199986556,2.1714285714285713,835,0.07471302738432484
QGeo,40,30,2025,5000000.0,933,2.465166130760986,1233.4535652173913,17.391304347826086,105.97694608393246,1.826086956521739,982,0.10144549951503395
QMR,20,15,2025,5000000.0,480,52.083333333333336,679.982144,0.8,62.1087262748661,2.948,259,0.016618778584392015
QMR,20,20,2025,5000000.0,480,53.95833333333333,827.269471042471,0.7722007722007722,64.55517026919323,2.996138996138996,215,0.01886182714932127
QMR,20,30,2025,5000000.0,480,50.625,885.2235144032923,0.823045267489712,66.55365780066012,3.156378600823045,174,0.02406123370577281
QMR,30,15,2025,5000000.0,728,22.939560439560438,1366.5665808383233,1.7964071856287425,21.036267571699568,2.7724550898203595,741,0.012066847111111112
QMR,30,20,2025,5000000.0,728,21.153846153846153,1439.4494025974027,1.948051948051948,20.78336047673965,2.772727272727273,498,0.011529503100088576
QMR,30,30,2025,5000000.0,728,20.467032967032967,1384.9321342281878,2.0134228187919465,19.06126973452765,2.8523489932885906,520,0.015771365724381627
QMR,40,15,2025,5000000.0,933,13.290460878885316,1415.9380483870968,3.225806451612903,49.66616965957314,2.443548387096774,1036,0.010944254340277779
QMR,40,20,2025,5000000.0,933,13.933547695605572,1470.3300076923076,3.076923076923077,45.41272995577212,2.5538461538461537,1461,0.011209103030303032
QMR,40,30,2025,5000000.0,933,12.64737406216506,1552.6495338983052,3.389830508474576,44.327212277444346,2.5762711864406778,1119,0.014695114012184509
